id,project,bug,verdict,note,similarity,num_turns,total_cost_usd,wallclock_s,agent_s,patch_added_lines,patch_removed_lines,input_tokens,output_tokens,cache_read_input_tokens
Cli-37,Cli,37,PLAUSIBLE,all developer tests pass,same-files,12,0.17960980000000001,63,54,12,1,24,4446,268789
Cli-38,Cli,38,PLAUSIBLE,all developer tests pass,same-files,8,0.1731142,54,45,5,1,16,3973,182626
Cli-39,Cli,39,PLAUSIBLE,all developer tests pass,same-files,11,0.15804019999999996,40,31,12,1,22,2351,265191
Cli-40,Cli,40,PLAUSIBLE,all developer tests pass,same-files,10,0.14173380000000002,59,43,24,1,20,3013,210764
Closure-1,Closure,1,PLAUSIBLE,all developer tests pass,identical,17,0.28856619999999994,281,129,3,0,34,4264,560486
Closure-2,Closure,2,PLAUSIBLE,all developer tests pass,identical,7,0.08604220000000001,358,99,4,0,14,1339,126411
Closure-3,Closure,3,PLAUSIBLE,all developer tests pass,same-files,16,0.2660976,296,145,6,0,32,5223,490453
Closure-4,Closure,4,PLAUSIBLE,all developer tests pass,identical,11,0.18196759999999998,361,133,2,2,22,2378,297723
Closure-5,Closure,5,PLAUSIBLE,all developer tests pass,identical,9,0.1551712,240,113,3,0,18,2935,214246
Closure-6,Closure,6,PLAUSIBLE,all developer tests pass,identical,17,0.22286880000000006,400,135,0,8,34,4097,435849
Closure-7,Closure,7,PLAUSIBLE,all developer tests pass,same-files,15,0.2717578,396,157,7,2,30,5289,473729
Closure-8,Closure,8,PLAUSIBLE,all developer tests pass,different,13,0.1501982,239,101,10,1,26,2159,288886
Closure-9,Closure,9,PLAUSIBLE,all developer tests pass,same-files,7,0.0915586,236,105,1,0,14,1571,126223
Closure-10,Closure,10,PLAUSIBLE,all developer tests pass,identical,14,0.24681680000000003,376,139,1,1,28,7430,357614
Closure-11,Closure,11,PLAUSIBLE,all developer tests pass,same-files,12,0.1738374,349,132,5,3,24,4667,267802
Closure-12,Closure,12,PLAUSIBLE,all developer tests pass,same-files,9,0.143631,196,84,6,0,18,1926,214205
Closure-13,Closure,13,PLAUSIBLE,all developer tests pass,same-files,46,1.0027784,717,598,3,1,92,30551,2198682
Closure-14,Closure,14,PLAUSIBLE,all developer tests pass,identical,26,0.9234046000000001,534,398,1,1,52,32070,1477768
Closure-15,Closure,15,PLAUSIBLE,all developer tests pass,identical,11,0.17590039999999998,173,87,3,0,22,3248,276747
Closure-16,Closure,16,PLAUSIBLE,all developer tests pass,same-files,12,0.2343688,211,127,12,7,24,6347,316954
Closure-17,Closure,17,PLAUSIBLE,all developer tests pass,same-files,47,1.0166656000000003,654,484,10,2,94,29031,2271223
Closure-18,Closure,18,PLAUSIBLE,all developer tests pass,identical,26,0.407322,356,189,1,1,52,9116,849445
Closure-19,Closure,19,PLAUSIBLE,all developer tests pass,different,16,0.24688960000000004,354,157,1,1,32,7340,389003
Closure-20,Closure,20,PLAUSIBLE,all developer tests pass,same-files,9,0.11311299999999999,191,79,2,1,18,1686,182180
Closure-21,Closure,21,PLAUSIBLE,all developer tests pass,same-files,18,0.41477959999999997,475,261,10,1,36,16996,529118
Closure-22,Closure,22,PLAUSIBLE,all developer tests pass,same-files,57,1.3482866,1158,965,11,1,114,39551,3003223
Closure-23,Closure,23,PLAUSIBLE,all developer tests pass,same-files,12,0.17412080000000002,291,153,10,3,24,4234,262399
Closure-24,Closure,24,PLAUSIBLE,all developer tests pass,same-files,23,0.33744380000000007,406,270,12,9,46,9705,615749
Closure-25,Closure,25,PLAUSIBLE,all developer tests pass,same-files,13,0.15716599999999997,324,130,6,1,26,3514,269420
Closure-26,Closure,26,PLAUSIBLE,all developer tests pass,same-files,11,0.1754708,465,194,5,1,22,2448,288169
Closure-27,Closure,27,PLAUSIBLE,all developer tests pass,same-files,10,0.1661506,418,122,4,3,20,2999,246028
Closure-28,Closure,28,PLAUSIBLE,all developer tests pass,same-files,16,0.2065312,332,160,7,2,32,4206,395686
Closure-29,Closure,29,PLAUSIBLE,all developer tests pass,same-files,22,0.6846476,456,348,48,8,44,23796,999858
Closure-30,Closure,30,PLAUSIBLE,all developer tests pass,different,19,0.7208076,484,371,23,2,38,26264,966923
Closure-31,Closure,31,PLAUSIBLE,all developer tests pass,identical,23,0.31409439999999994,342,158,0,1,46,5351,689177
Closure-32,Closure,32,PLAUSIBLE,all developer tests pass,same-files,27,0.8858611999999999,657,508,11,1,54,36420,1220371
Closure-33,Closure,33,PLAUSIBLE,all developer tests pass,same-files,18,0.268287,321,129,1,1,36,6567,486745
Closure-34,Closure,34,PLAUSIBLE,all developer tests pass,different,14,0.40549860000000004,430,261,27,13,28,16405,451238
Closure-35,Closure,35,PLAUSIBLE,all developer tests pass,same-files,15,0.20097319999999996,236,111,7,0,30,4618,354486
Closure-36,Closure,36,PLAUSIBLE,all developer tests pass,same-files,11,0.2765802,295,156,4,0,22,7930,336426
Closure-37,Closure,37,PLAUSIBLE,all developer tests pass,different,86,1.3025217999999998,993,788,17,1,172,27417,3810114
Closure-38,Closure,38,PLAUSIBLE,all developer tests pass,identical,7,0.0804216,291,97,1,1,14,1241,119778
Closure-39,Closure,39,PLAUSIBLE,all developer tests pass,same-files,11,0.17860340000000002,368,132,5,4,22,3880,263992
Closure-40,Closure,40,PLAUSIBLE,all developer tests pass,identical,20,0.47606480000000007,365,240,1,3,40,13179,791784
Closure-41,Closure,41,PLAUSIBLE,all developer tests pass,same-files,16,0.2317434,380,160,8,0,32,3788,431022
Closure-42,Closure,42,PLAUSIBLE,all developer tests pass,same-files,20,0.29073,355,131,6,0,40,3495,560395
Closure-43,Closure,43,PLAUSIBLE,all developer tests pass,same-files,21,0.37801,458,246,13,0,42,10754,660370
Closure-44,Closure,44,PLAUSIBLE,all developer tests pass,identical,33,0.5892685999999998,750,596,2,0,66,18292,1095918
Closure-45,Closure,45,PLAUSIBLE,all developer tests pass,same-files,10,0.17248840000000001,250,120,3,2,20,4107,234452
Closure-46,Closure,46,PLAUSIBLE,all developer tests pass,same-files,14,0.2156034,261,139,7,9,28,3601,384847
Closure-47,Closure,47,PLAUSIBLE,all developer tests pass,same-files,61,1.6645531999999998,918,680,8,3,122,34058,4519786
Closure-48,Closure,48,PLAUSIBLE,all developer tests pass,same-files,44,0.9172576000000002,621,424,14,1,88,25802,2008608
Closure-49,Closure,49,PLAUSIBLE,all developer tests pass,same-files,35,1.1505016000000001,702,551,49,12,70,38805,2127543
Closure-50,Closure,50,PLAUSIBLE,all developer tests pass,same-files,12,0.17772040000000003,230,127,10,0,24,4204,285847
Closure-51,Closure,51,PLAUSIBLE,all developer tests pass,same-files,8,0.08904419999999999,283,85,1,1,16,1668,138981
Closure-52,Closure,52,PLAUSIBLE,all developer tests pass,same-files,13,0.16828759999999998,319,121,2,1,26,3911,272908
Closure-53,Closure,53,PLAUSIBLE,all developer tests pass,same-files,9,0.16976659999999996,181,65,8,3,18,3738,217763
Closure-54,Closure,54,PLAUSIBLE,all developer tests pass,different,162,8.258512999999997,2082,1881,53,4,324,141526,28192100
Closure-55,Closure,55,PLAUSIBLE,all developer tests pass,same-files,16,0.205379,211,106,11,2,30,3480,397640
Closure-56,Closure,56,PLAUSIBLE,all developer tests pass,same-files,9,0.12167859999999998,303,121,7,2,18,1649,192858
Closure-57,Closure,57,PLAUSIBLE,all developer tests pass,identical,6,0.0777126,293,114,1,1,12,1093,104478
Closure-58,Closure,58,PLAUSIBLE,all developer tests pass,identical,7,0.0965732,183,78,4,0,14,1748,131966
Closure-59,Closure,59,PLAUSIBLE,all developer tests pass,same-files,25,0.31713839999999993,328,141,6,1,48,7527,640407
Closure-60,Closure,60,PLAUSIBLE,all developer tests pass,identical,14,0.2021602,324,147,6,0,28,3608,341441
Closure-61,Closure,61,PLAUSIBLE,all developer tests pass,same-files,10,0.143332,277,109,4,0,20,1858,237185
Closure-62,Closure,62,PLAUSIBLE,all developer tests pass,identical,7,0.10105040000000001,237,61,1,1,14,1040,139757
Closure-64,Closure,64,PLAUSIBLE,all developer tests pass,same-files,17,0.18663920000000003,263,96,4,3,34,3578,381911
Closure-65,Closure,65,PLAUSIBLE,all developer tests pass,identical,9,0.09958220000000002,215,69,1,1,18,1863,163076
Closure-66,Closure,66,PLAUSIBLE,all developer tests pass,identical,12,0.20172379999999998,230,88,2,0,24,4198,307779
Closure-67,Closure,67,PLAUSIBLE,all developer tests pass,same-files,14,0.4687058,316,239,13,3,28,17894,528489
Closure-68,Closure,68,PLAUSIBLE,all developer tests pass,same-files,30,0.3657264,254,148,1,0,60,8473,807387
Closure-69,Closure,69,PLAUSIBLE,all developer tests pass,same-files,21,0.32219180000000003,289,151,7,0,42,8237,611529
Closure-70,Closure,70,PLAUSIBLE,all developer tests pass,identical,17,0.2929292,263,132,1,1,34,6901,510536
Closure-71,Closure,71,PLAUSIBLE,all developer tests pass,same-files,24,0.5520994000000001,427,280,16,5,48,18645,906112
Closure-72,Closure,72,PLAUSIBLE,all developer tests pass,different,20,0.42020799999999997,266,182,47,0,40,11686,728960
Closure-73,Closure,73,PLAUSIBLE,all developer tests pass,identical,7,0.0812236,202,58,1,1,14,1199,121868
Closure-74,Closure,74,PLAUSIBLE,all developer tests pass,same-files,24,0.5582487999999999,341,258,17,0,48,19232,894549
Closure-75,Closure,75,PLAUSIBLE,all developer tests pass,same-files,14,0.1435116,206,76,3,0,28,2876,280928
Closure-76,Closure,76,PLAUSIBLE,all developer tests pass,same-files,17,0.5896736,434,330,50,12,34,25217,740423
Closure-77,Closure,77,PLAUSIBLE,all developer tests pass,same-files,13,0.13689,231,84,9,0,26,2788,257725
Closure-78,Closure,78,PLAUSIBLE,all developer tests pass,identical,9,0.1116684,177,85,0,2,18,1951,175862
Closure-79,Closure,79,PLAUSIBLE,all developer tests pass,same-files,27,0.44562879999999994,341,177,2,1,54,6484,1035599
Closure-80,Closure,80,PLAUSIBLE,all developer tests pass,same-files,16,0.23855600000000002,244,97,6,0,32,3367,461465
Closure-81,Closure,81,PLAUSIBLE,all developer tests pass,same-files,32,0.5227086000000001,507,364,6,0,64,7366,1271948
Closure-82,Closure,82,PLAUSIBLE,all developer tests pass,different,46,0.7817008000000001,453,304,13,1,90,16923,1958499
Closure-83,Closure,83,PLAUSIBLE,all developer tests pass,same-files,22,0.24575019999999997,336,263,6,1,44,4679,536566
Closure-84,Closure,84,PLAUSIBLE,all developer tests pass,same-files,56,0.7561747999999996,416,260,15,0,112,15892,2048444
Closure-85,Closure,85,PLAUSIBLE,all developer tests pass,same-files,48,3.2088412000000006,1621,1557,33,20,96,138578,5270016
Closure-86,Closure,86,PLAUSIBLE,all developer tests pass,same-files,8,0.1262974,206,83,1,1,16,1443,183482
Closure-87,Closure,87,PLAUSIBLE,all developer tests pass,same-files,15,0.21151520000000004,168,102,22,3,30,5516,358881
Closure-88,Closure,88,PLAUSIBLE,all developer tests pass,same-files,11,0.3400932,231,170,17,0,22,12746,337041
Closure-89,Closure,89,PLAUSIBLE,all developer tests pass,same-files,19,0.6430122000000001,303,223,5,1,38,16596,1027096
Closure-90,Closure,90,PLAUSIBLE,all developer tests pass,same-files,26,0.4149192,261,149,5,1,52,9443,854581
Closure-91,Closure,91,PLAUSIBLE,all developer tests pass,same-files,11,0.128079,129,63,10,0,22,2395,222810
Closure-92,Closure,92,PLAUSIBLE,all developer tests pass,identical,7,0.1110678,134,62,1,1,14,1448,147479
Closure-94,Closure,94,PLAUSIBLE,all developer tests pass,same-files,9,0.13104319999999997,183,64,4,1,18,2432,193086
Closure-95,Closure,95,PLAUSIBLE,all developer tests pass,same-files,17,0.2218018,153,76,6,0,30,3441,412444
Closure-96,Closure,96,PLAUSIBLE,all developer tests pass,same-files,16,0.19583219999999996,210,101,5,2,32,3121,380591
Closure-97,Closure,97,PLAUSIBLE,all developer tests pass,identical,6,0.0798788,102,44,2,1,12,1205,105134
Closure-98,Closure,98,PLAUSIBLE,all developer tests pass,same-files,26,0.6827393999999999,321,273,16,2,52,21730,1209652
Closure-99,Closure,99,PLAUSIBLE,all developer tests pass,same-files,14,0.277169,175,115,16,7,28,8354,410945
Closure-100,Closure,100,PLAUSIBLE,all developer tests pass,same-files,12,0.48310920000000007,309,257,27,3,24,22037,455346
Closure-101,Closure,101,PLAUSIBLE,all developer tests pass,identical,13,0.15535340000000003,112,61,1,3,26,2847,278087
Closure-102,Closure,102,PLAUSIBLE,all developer tests pass,different,68,1.6211818,589,535,5,1,136,44552,3985984
Closure-103,Closure,103,PLAUSIBLE,all developer tests pass,same-files,17,0.31222839999999996,148,83,8,0,34,4573,570102
Closure-104,Closure,104,PLAUSIBLE,all developer tests pass,identical,10,0.11800379999999999,134,49,1,1,20,1926,195664
Closure-105,Closure,105,PLAUSIBLE,all developer tests pass,identical,9,0.16277840000000002,122,75,7,5,18,5310,186942
Closure-106,Closure,106,PLAUSIBLE,all developer tests pass,same-files,75,2.2719118000000003,660,612,3,2,150,53884,6209949
Closure-107,Closure,107,PLAUSIBLE,all developer tests pass,identical,39,0.6250538,393,240,1,0,78,12790,1375439
Closure-108,Closure,108,PLAUSIBLE,all developer tests pass,same-files,33,0.4464228,386,217,6,1,66,9675,1063119
Closure-109,Closure,109,PLAUSIBLE,all developer tests pass,same-files,11,0.157173,300,95,4,1,22,2435,259485
Closure-110,Closure,110,PLAUSIBLE,all developer tests pass,different,25,0.6353046,660,395,36,19,50,21161,1046843
Closure-111,Closure,111,PLAUSIBLE,all developer tests pass,same-files,15,0.22655560000000002,293,141,1,1,30,4293,396453
Closure-112,Closure,112,PLAUSIBLE,all developer tests pass,same-files,46,1.1554352000000003,765,589,10,0,92,35579,2450661
Closure-113,Closure,113,PLAUSIBLE,all developer tests pass,identical,14,0.19183160000000005,304,138,1,1,28,3976,338878
Closure-114,Closure,114,PLAUSIBLE,all developer tests pass,same-files,30,0.6545075999999999,467,348,2,1,60,21147,1151963
Closure-115,Closure,115,PLAUSIBLE,all developer tests pass,different,50,1.742436,748,606,21,2,100,47738,4027820
Closure-116,Closure,116,PLAUSIBLE,all developer tests pass,same-files,67,2.4114282000000005,1025,895,20,0,134,63481,6176051
Closure-117,Closure,117,PLAUSIBLE,all developer tests pass,identical,19,0.40651020000000004,483,244,15,12,38,14991,567611
Closure-118,Closure,118,PLAUSIBLE,all developer tests pass,identical,10,0.2432468,413,187,6,0,20,3046,348004
Closure-119,Closure,119,PLAUSIBLE,all developer tests pass,same-files,20,0.29521400000000003,330,197,4,1,40,6784,557265
Closure-120,Closure,120,PLAUSIBLE,all developer tests pass,different,35,1.2272989999999995,964,690,10,1,70,39575,2361520
Closure-121,Closure,121,PLAUSIBLE,all developer tests pass,same-files,41,1.1564748,747,595,8,1,82,31737,2490984
Closure-122,Closure,122,PLAUSIBLE,all developer tests pass,same-files,18,0.2114794,478,250,7,1,36,4247,434477
Closure-123,Closure,123,PLAUSIBLE,all developer tests pass,identical,25,0.3051052000000001,450,234,1,1,50,7071,651886
Closure-124,Closure,124,PLAUSIBLE,all developer tests pass,identical,8,0.1530998,296,134,2,0,16,4544,171269
Closure-125,Closure,125,PLAUSIBLE,all developer tests pass,identical,46,0.6548048000000001,535,275,1,1,90,11707,1706369
Closure-126,Closure,126,PLAUSIBLE,all developer tests pass,identical,8,0.1332036,252,112,0,4,16,1712,186328
Closure-127,Closure,127,PLAUSIBLE,all developer tests pass,same-files,20,0.4582774,419,273,27,0,40,14695,705782
Closure-128,Closure,128,PLAUSIBLE,all developer tests pass,same-files,12,0.1243502,327,98,1,1,24,1996,234876
Closure-129,Closure,129,PLAUSIBLE,all developer tests pass,identical,13,0.15158220000000003,362,130,3,0,26,3104,272861
Closure-130,Closure,130,PLAUSIBLE,all developer tests pass,different,43,0.6800499999999999,550,433,6,0,86,15439,1677990
Closure-131,Closure,131,PLAUSIBLE,all developer tests pass,same-files,13,0.1827078,331,148,3,2,26,3313,318654
Closure-132,Closure,132,PLAUSIBLE,all developer tests pass,same-files,21,0.4214188,410,276,14,1,42,13706,651014
Closure-133,Closure,133,PLAUSIBLE,all developer tests pass,same-files,56,1.7049521999999993,941,780,10,0,112,55100,3652761
Closure-134,Closure,134,PLAUSIBLE,all developer tests pass,same-files,61,1.3460529999999997,395,337,28,10,122,25476,3708280
Closure-135,Closure,135,PLAUSIBLE,all developer tests pass,same-files,36,0.6657406000000003,280,200,16,4,72,15068,1474663
Closure-136,Closure,136,PLAUSIBLE,all developer tests pass,same-files,98,3.016097799999999,878,804,50,13,196,64842,8703974
Closure-137,Closure,137,PLAUSIBLE,all developer tests pass,different,31,1.5440342000000002,795,704,120,67,62,62953,2415136
Closure-138,Closure,138,PLAUSIBLE,all developer tests pass,different,70,2.1067936,896,843,20,7,140,55064,5411078
Closure-139,Closure,139,PLAUSIBLE,all developer tests pass,same-files,31,0.5619918000000002,275,230,29,17,62,15263,1140569
Closure-140,Closure,140,PLAUSIBLE,all developer tests pass,same-files,27,0.44740300000000005,264,152,10,1,54,9350,948630
Closure-141,Closure,141,PLAUSIBLE,all developer tests pass,same-files,35,0.7389676000000001,309,212,39,16,70,14486,1670548
Closure-142,Closure,142,PLAUSIBLE,all developer tests pass,same-files,29,0.5367974,258,176,26,9,58,12415,1145317
Closure-143,Closure,143,PLAUSIBLE,all developer tests pass,same-files,19,0.3389287999999999,165,117,3,4,36,7953,575474
Closure-144,Closure,144,PLAUSIBLE,all developer tests pass,different,148,4.3156186000000005,1351,1263,70,27,296,74414,14528853
Closure-145,Closure,145,PLAUSIBLE,all developer tests pass,same-files,10,0.129558,151,58,17,3,20,2333,208260
Closure-146,Closure,146,PLAUSIBLE,all developer tests pass,different,21,0.33131620000000006,232,131,7,7,42,6925,624721
Closure-147,Closure,147,PLAUSIBLE,all developer tests pass,different,25,0.4714988000000001,174,119,7,1,50,7053,1021099
Closure-148,Closure,148,PLAUSIBLE,all developer tests pass,same-files,31,0.7917556,397,332,67,77,62,27475,1396378
Closure-149,Closure,149,PLAUSIBLE,all developer tests pass,different,41,0.5188844,282,176,10,8,82,10225,1335462
Closure-150,Closure,150,PLAUSIBLE,all developer tests pass,identical,17,0.3622496,198,122,1,15,34,8872,560003
Closure-151,Closure,151,PLAUSIBLE,all developer tests pass,different,46,0.7111170000000001,274,202,29,0,92,13198,1879580
Closure-152,Closure,152,PLAUSIBLE,all developer tests pass,identical,22,0.33281180000000005,235,111,4,1,44,6492,687244
Closure-153,Closure,153,PLAUSIBLE,all developer tests pass,different,35,0.7373072,419,293,20,0,70,15029,1719141
Closure-154,Closure,154,PLAUSIBLE,all developer tests pass,different,30,0.6207222000000001,405,261,49,13,60,19576,1162151
Closure-155,Closure,155,PLAUSIBLE,all developer tests pass,different,30,1.8067714000000004,1000,851,134,1,60,74532,2572582
Closure-156,Closure,156,PLAUSIBLE,all developer tests pass,same-files,31,1.0290295999999999,475,404,30,14,62,30864,1839883
Closure-157,Closure,157,PLAUSIBLE,all developer tests pass,different,113,4.462483400000001,1406,1240,75,10,226,86528,14238992
Closure-158,Closure,158,PLAUSIBLE,all developer tests pass,same-files,51,1.0972304000000002,589,441,119,34,102,27445,2684927
Closure-159,Closure,159,PLAUSIBLE,all developer tests pass,same-files,35,0.8542643999999999,382,307,5,0,70,21387,1886072
Closure-160,Closure,160,PLAUSIBLE,all developer tests pass,same-files,22,0.2711294,287,125,1,2,44,5943,551812
Closure-161,Closure,161,PLAUSIBLE,all developer tests pass,identical,9,0.1071628,195,85,4,0,18,1872,171414
Closure-162,Closure,162,PLAUSIBLE,all developer tests pass,different,21,0.3535696,300,141,22,0,42,7499,713283
Closure-163,Closure,163,PLAUSIBLE,all developer tests pass,different,20,0.6062074000000002,400,285,62,3,40,18541,936517
Closure-164,Closure,164,PLAUSIBLE,all developer tests pass,same-files,26,0.4479841999999999,403,202,4,1,52,10715,915461
Closure-165,Closure,165,PLAUSIBLE,all developer tests pass,different,32,0.7746513999999999,565,375,23,6,64,27144,1387342
Closure-166,Closure,166,PLAUSIBLE,all developer tests pass,same-files,15,0.21154399999999998,325,113,6,0,30,2898,407630
Closure-167,Closure,167,PLAUSIBLE,all developer tests pass,same-files,77,1.4837318,916,700,20,11,154,25798,4471744
Closure-168,Closure,168,PLAUSIBLE,all developer tests pass,identical,23,0.3159616,372,174,1,1,46,7884,621873
Closure-169,Closure,169,PLAUSIBLE,all developer tests pass,same-files,48,1.0038246000000002,575,344,101,30,96,26441,2414163
Closure-170,Closure,170,PLAUSIBLE,all developer tests pass,same-files,18,0.8009224,557,424,49,0,36,32140,931572
