id,project,bug,verdict,excluded,num_actions,num_text_messages,num_unique_actions,num_reads,num_source_reads,num_test_reads,num_searches,num_external_searches,num_edits,num_compile,num_test_runs,num_binary_inspections,num_external_path_refs,num_tmp_path_refs,num_unique_paths,num_unique_source_paths,num_unique_test_paths,num_unique_external_paths,turn_to_first_edit,turn_to_first_test,edits_before_first_test,actions_before_first_edit,longest_no_test_span,has_find_root,has_cache_access,has_binary_inspection
Cli-10,Cli,10,PLAUSIBLE,,10,3,6,2,2,0,4,0,2,1,1,0,0,0,3,2,1,0,6,10,2,5,9,0,0,0
Cli-11,Cli,11,PLAUSIBLE,,9,4,6,1,1,0,4,0,2,1,1,0,0,0,3,2,1,0,4,9,2,3,8,0,0,0
Cli-12,Cli,12,PLAUSIBLE,,8,2,6,1,1,0,4,0,1,1,1,0,0,0,4,3,1,0,6,8,1,5,7,0,0,0
Cli-13,Cli,13,PLAUSIBLE,,41,6,10,6,6,0,11,0,5,2,4,0,9,4,26,15,2,6,12,14,1,11,18,0,0,0
Cli-14,Cli,14,PLAUSIBLE,,8,2,6,3,2,1,1,0,2,1,1,0,0,0,6,5,1,0,5,8,2,4,7,0,0,0
Cli-15,Cli,15,PLAUSIBLE,,10,1,6,3,2,1,4,0,1,1,1,0,0,0,8,7,1,0,8,10,1,7,9,0,0,0
Cli-16,Cli,16,PLAUSIBLE,,29,9,10,4,4,0,10,0,6,2,3,0,2,0,15,8,5,2,14,21,5,13,20,0,0,0
Cli-17,Cli,17,PLAUSIBLE,,8,3,5,1,1,0,3,0,1,1,2,0,3,0,3,1,0,2,5,7,1,4,6,0,0,0
Cli-18,Cli,18,PLAUSIBLE,,4,2,4,0,0,0,1,0,1,0,1,0,2,0,3,1,0,2,3,4,1,2,3,0,0,0
Cli-19,Cli,19,PLAUSIBLE,,9,4,6,1,1,0,4,0,1,1,2,0,2,0,5,3,1,1,6,8,1,5,7,0,0,0
Cli-20,Cli,20,PLAUSIBLE,,13,3,6,0,0,0,8,0,1,1,2,0,2,0,7,4,2,1,10,12,1,9,11,0,0,0
Cli-21,Cli,21,PLAUSIBLE,,18,5,6,5,5,0,5,0,3,1,2,0,17,0,12,4,0,8,12,16,3,11,15,0,0,0
Cli-22,Cli,22,PLAUSIBLE,,15,4,6,3,3,0,3,0,7,1,1,0,0,0,4,3,1,0,6,15,7,5,14,0,0,0
Cli-23,Cli,23,PLAUSIBLE,,5,3,4,2,2,0,0,0,1,1,1,0,0,0,1,1,0,0,3,5,1,2,4,0,0,0
Cli-24,Cli,24,PLAUSIBLE,,12,2,7,1,0,1,5,0,1,1,2,0,0,0,4,2,2,0,9,11,1,8,10,0,0,0
Cli-25,Cli,25,PLAUSIBLE,,6,2,5,2,2,0,2,0,1,0,1,0,0,0,2,1,1,0,5,6,1,4,5,0,0,0
Cli-26,Cli,26,PLAUSIBLE,,6,3,6,2,1,1,1,0,1,1,1,0,1,0,3,1,1,1,4,6,1,3,5,0,0,0
Cli-27,Cli,27,PLAUSIBLE,,8,3,6,2,2,0,3,0,1,1,1,0,0,0,3,2,1,0,6,8,1,5,7,0,0,0
Cli-28,Cli,28,PLAUSIBLE,,6,1,4,1,1,0,3,0,1,0,1,0,4,0,3,1,0,2,5,6,1,4,5,0,0,0
Cli-29,Cli,29,PLAUSIBLE,,6,1,6,1,1,0,1,0,1,1,1,0,0,0,3,2,1,0,4,6,1,3,5,0,0,0
Cli-30,Cli,30,PLAUSIBLE,,14,8,7,3,3,0,5,0,3,1,1,0,1,0,9,6,2,1,4,13,3,3,12,0,0,0
Cli-31,Cli,31,PLAUSIBLE,,13,4,6,2,2,0,7,0,1,1,2,0,1,0,6,4,1,1,10,12,1,9,11,0,0,0
Cli-32,Cli,32,PLAUSIBLE,,7,3,5,0,0,0,4,0,1,1,1,0,0,0,2,1,1,0,5,7,1,4,6,0,0,0
Cli-33,Cli,33,PLAUSIBLE,,13,4,6,5,5,0,3,0,2,1,2,0,1,0,3,1,1,1,9,12,2,8,11,0,0,0
Cli-34,Cli,34,PLAUSIBLE,,16,5,6,2,2,0,9,0,3,1,1,0,0,0,10,6,4,0,11,16,3,10,15,0,0,0
Cli-35,Cli,35,PLAUSIBLE,,7,4,5,1,1,0,2,0,1,1,2,0,0,0,2,2,0,0,3,6,1,2,5,0,0,0
Cli-36,Cli,36,PLAUSIBLE,,8,2,6,3,2,1,1,0,2,1,1,0,1,0,4,2,1,1,5,8,2,4,7,0,0,0
Cli-37,Cli,37,PLAUSIBLE,,13,1,7,4,3,1,6,0,1,1,1,0,0,0,6,4,2,0,11,13,1,10,12,0,0,0
Cli-38,Cli,38,PLAUSIBLE,,7,1,7,2,1,1,2,0,1,1,1,0,1,0,5,2,1,1,5,7,1,4,6,0,0,0
Cli-39,Cli,39,PLAUSIBLE,,9,2,6,1,1,0,4,0,2,1,1,0,0,0,4,3,1,0,6,9,2,5,8,0,0,0
Cli-40,Cli,40,PLAUSIBLE,,12,4,6,2,2,0,3,0,4,1,2,0,0,0,2,1,1,0,6,11,4,5,10,0,0,0
Closure-1,Closure,1,PLAUSIBLE,,12,3,6,2,2,0,5,0,1,1,2,0,6,0,7,2,0,5,9,11,1,8,10,0,0,0
Closure-2,Closure,2,PLAUSIBLE,,6,5,5,1,1,0,1,0,1,1,2,0,0,0,1,1,0,0,2,5,1,1,4,0,0,0
Closure-3,Closure,3,PLAUSIBLE,,17,4,9,6,5,1,5,0,1,1,2,0,4,0,9,4,1,3,13,15,1,12,14,0,0,0
Closure-4,Closure,4,PLAUSIBLE,,13,5,7,2,2,0,5,0,1,1,3,0,2,0,8,4,1,2,8,10,1,7,9,0,0,0
Closure-5,Closure,5,PLAUSIBLE,,7,3,6,1,1,0,2,0,1,1,2,0,0,0,3,2,0,0,4,6,1,3,5,0,0,0
Closure-6,Closure,6,PLAUSIBLE,,37,4,7,11,11,0,19,0,2,2,2,0,0,0,12,10,1,0,32,35,2,31,34,0,0,0
Closure-7,Closure,7,PLAUSIBLE,,15,3,5,2,2,0,9,0,1,1,2,0,7,0,6,2,0,4,12,14,1,11,13,0,0,0
Closure-8,Closure,8,PLAUSIBLE,,9,1,7,1,1,0,5,0,1,1,1,0,0,0,5,3,1,0,6,9,1,5,8,0,0,0
Closure-9,Closure,9,PLAUSIBLE,,8,2,6,1,1,0,3,0,1,1,2,0,0,0,2,1,1,0,5,7,1,4,6,0,0,0
Closure-10,Closure,10,PLAUSIBLE,,13,2,6,6,6,0,4,0,1,1,1,0,0,0,3,2,1,0,11,13,1,10,12,0,0,0
Closure-11,Closure,11,PLAUSIBLE,,9,2,7,2,2,0,2,0,1,1,2,0,1,0,3,1,1,1,6,8,1,5,7,0,0,0
Closure-12,Closure,12,PLAUSIBLE,,18,3,7,4,4,0,9,0,1,1,3,0,0,0,10,8,1,0,15,7,0,14,9,0,0,0
Closure-13,Closure,13,PLAUSIBLE,,63,10,8,8,8,0,21,0,14,2,2,0,27,18,29,6,0,13,26,61,14,25,60,0,0,0
Closure-14,Closure,14,PLAUSIBLE,,37,8,12,5,3,2,17,1,3,2,3,0,13,11,19,3,2,7,16,34,3,15,33,1,0,0
Closure-15,Closure,15,PLAUSIBLE,,14,5,7,3,3,0,5,0,2,1,3,0,0,0,5,3,1,0,7,9,1,6,8,0,0,0
Closure-16,Closure,16,PLAUSIBLE,,11,2,6,3,3,0,3,0,1,1,3,0,0,0,2,1,1,0,7,9,1,6,8,0,0,0
Closure-17,Closure,17,PLAUSIBLE,,74,6,11,2,2,0,48,2,4,3,7,1,46,8,38,7,1,22,15,17,1,14,19,1,0,1
Closure-18,Closure,18,PLAUSIBLE,,24,5,8,8,8,0,11,0,1,1,2,0,2,0,12,6,2,2,20,22,1,19,21,0,0,0
Closure-19,Closure,19,PLAUSIBLE,,16,3,6,4,4,0,6,0,2,1,3,0,0,0,7,5,2,0,9,11,1,8,10,0,0,0
Closure-20,Closure,20,PLAUSIBLE,,8,2,5,1,1,0,3,0,1,1,2,0,3,0,4,1,0,3,6,4,0,5,3,0,0,0
Closure-21,Closure,21,PLAUSIBLE,,11,4,6,0,0,0,4,0,1,1,2,0,6,0,4,1,0,3,7,9,1,6,8,0,0,0
Closure-22,Closure,22,PLAUSIBLE,,14,4,10,1,1,0,6,1,1,1,2,0,5,0,6,1,2,2,10,12,1,9,11,1,0,0
Closure-23,Closure,23,PLAUSIBLE,,12,2,7,3,3,0,2,0,2,1,3,0,0,0,2,1,1,0,4,6,1,3,5,0,0,0
Closure-24,Closure,24,PLAUSIBLE,,21,5,8,5,4,1,8,0,2,1,4,0,1,0,6,4,1,1,6,12,1,5,11,0,0,0
Closure-25,Closure,25,PLAUSIBLE,,8,4,5,2,2,0,2,0,1,1,2,0,2,0,3,1,0,2,5,7,1,4,6,0,0,0
Closure-26,Closure,26,PLAUSIBLE,,10,4,7,2,1,1,2,0,2,1,3,0,0,0,3,1,1,0,5,8,2,4,7,0,0,0
Closure-27,Closure,27,PLAUSIBLE,,9,3,6,2,2,0,3,0,1,1,2,0,0,0,2,1,1,0,6,8,1,5,7,0,0,0
Closure-28,Closure,28,PLAUSIBLE,,12,3,7,3,2,1,4,0,1,1,3,0,0,0,5,3,1,0,8,10,1,7,9,0,0,0
Closure-29,Closure,29,PLAUSIBLE,,32,8,9,9,8,1,6,0,6,3,5,0,0,0,5,2,1,0,16,7,0,15,13,0,0,0
Closure-30,Closure,30,PLAUSIBLE,,27,4,10,6,4,2,12,0,3,1,3,0,1,0,9,5,1,1,20,24,3,19,23,0,0,0
Closure-31,Closure,31,PLAUSIBLE,,19,4,7,0,0,0,14,0,1,1,2,0,0,0,8,6,1,0,15,17,1,14,16,0,0,0
Closure-32,Closure,32,PLAUSIBLE,,20,5,9,6,5,1,8,0,1,1,3,0,0,0,7,2,2,0,15,17,1,14,16,0,0,0
Closure-33,Closure,33,PLAUSIBLE,,35,6,9,1,1,0,22,0,3,1,3,0,16,0,19,7,1,11,15,16,1,14,16,0,0,0
Closure-34,Closure,34,PLAUSIBLE,,19,8,7,4,4,0,4,0,5,2,3,0,0,0,2,1,1,0,6,13,4,5,12,0,0,0
Closure-35,Closure,35,PLAUSIBLE,,42,8,9,3,3,0,25,0,7,2,3,0,0,0,15,12,2,0,10,12,1,9,27,0,0,0
Closure-36,Closure,36,PLAUSIBLE,,59,10,9,16,16,0,19,0,7,1,3,0,25,15,21,6,1,9,31,12,0,30,43,0,0,0
Closure-37,Closure,37,PLAUSIBLE,,32,7,9,3,3,0,17,0,3,2,4,0,5,0,11,7,1,2,8,10,1,7,16,0,0,0
Closure-38,Closure,38,PLAUSIBLE,,8,1,6,2,2,0,3,0,1,1,1,0,0,0,4,3,1,0,6,8,1,5,7,0,0,0
Closure-39,Closure,39,PLAUSIBLE,,14,4,8,4,3,1,4,0,1,1,2,0,0,0,5,4,1,0,10,12,1,9,11,0,0,0
Closure-40,Closure,40,PLAUSIBLE,,13,2,7,3,3,0,4,0,1,1,3,0,0,0,2,1,1,0,9,11,1,8,10,0,0,0
Closure-41,Closure,41,PLAUSIBLE,,19,4,7,4,4,0,7,0,2,2,3,0,1,0,6,4,1,1,8,10,1,7,9,0,0,0
Closure-42,Closure,42,PLAUSIBLE,,27,8,8,1,1,0,20,0,2,1,2,0,6,0,16,10,2,2,21,25,2,20,24,0,0,0
Closure-43,Closure,43,PLAUSIBLE,,19,8,8,4,4,0,6,0,3,1,3,0,1,0,5,3,1,1,11,15,3,10,14,0,0,0
Closure-44,Closure,44,PLAUSIBLE,,10,2,6,2,1,1,4,0,1,0,3,0,1,0,4,2,1,1,8,3,0,7,5,0,0,0
Closure-45,Closure,45,PLAUSIBLE,,9,3,7,2,2,0,2,0,1,1,2,0,0,0,3,1,1,0,6,8,1,5,7,0,0,0
Closure-46,Closure,46,PLAUSIBLE,,15,5,8,4,3,1,7,0,1,1,2,0,0,0,6,3,2,0,12,14,1,11,13,0,0,0
Closure-47,Closure,47,PLAUSIBLE,,52,13,10,6,6,0,25,0,8,2,8,0,6,0,11,7,2,1,10,12,1,9,12,0,0,0
Closure-48,Closure,48,PLAUSIBLE,,35,3,7,13,13,0,13,0,2,2,4,0,0,0,7,6,1,0,25,13,0,24,13,0,0,0
Closure-49,Closure,49,PLAUSIBLE,,65,6,8,14,14,0,26,1,6,4,5,0,32,25,28,6,0,16,18,20,1,17,28,1,0,0
Closure-50,Closure,50,PLAUSIBLE,,10,4,6,1,1,0,3,0,2,1,3,0,0,0,2,1,1,0,5,8,2,4,7,0,0,0
Closure-51,Closure,51,PLAUSIBLE,,9,2,5,2,2,0,3,0,1,1,2,0,3,0,5,2,0,3,6,8,1,5,7,0,0,0
Closure-52,Closure,52,PLAUSIBLE,,10,3,7,1,1,0,5,0,1,1,2,0,1,0,4,1,1,1,7,9,1,6,8,0,0,0
Closure-53,Closure,53,PLAUSIBLE,,7,3,6,1,1,0,2,0,1,1,2,0,0,0,3,1,1,0,4,6,1,3,5,0,0,0
Closure-54,Closure,54,PLAUSIBLE,,118,11,8,32,31,1,40,0,14,11,7,0,74,5,27,7,1,17,23,25,1,22,54,0,0,0
Closure-55,Closure,55,PLAUSIBLE,,14,4,7,2,2,0,7,0,2,1,2,0,0,0,7,5,1,0,9,13,2,8,12,0,0,0
Closure-56,Closure,56,PLAUSIBLE,,9,2,6,3,1,2,3,0,1,1,1,0,2,0,5,1,2,2,7,9,1,6,8,0,0,0
Closure-57,Closure,57,PLAUSIBLE,,5,1,3,0,0,0,3,0,1,0,1,0,5,0,5,1,0,4,4,5,1,3,4,0,0,0
Closure-58,Closure,58,PLAUSIBLE,,6,2,5,1,1,0,1,0,1,1,2,0,0,0,2,1,1,0,3,5,1,2,4,0,0,0
Closure-59,Closure,59,PLAUSIBLE,,19,5,9,3,2,1,11,0,1,1,2,0,0,0,8,6,1,0,15,17,1,14,16,0,0,0
Closure-60,Closure,60,PLAUSIBLE,,12,4,7,2,2,0,3,0,2,1,3,0,1,0,4,1,2,1,5,7,1,4,6,0,0,0
Closure-61,Closure,61,PLAUSIBLE,,12,3,7,2,2,0,5,0,1,1,3,0,0,0,6,3,2,0,8,10,1,7,9,0,0,0
Closure-62,Closure,62,PLAUSIBLE,,7,5,6,1,1,0,2,0,1,1,2,0,0,0,3,1,1,0,4,6,1,3,5,0,0,0
Closure-64,Closure,64,PLAUSIBLE,,15,4,7,4,4,0,6,0,2,1,2,0,0,0,5,3,1,0,11,14,2,10,13,0,0,0
Closure-65,Closure,65,PLAUSIBLE,,7,2,5,1,1,0,2,0,1,1,2,0,2,0,3,1,0,2,4,6,1,3,5,0,0,0
Closure-66,Closure,66,PLAUSIBLE,,17,4,7,2,2,0,10,0,1,1,2,0,2,0,5,1,1,2,12,15,1,11,14,0,0,0
Closure-67,Closure,67,PLAUSIBLE,,16,4,10,5,4,1,5,0,1,1,2,0,2,0,7,3,1,2,12,14,1,11,13,0,0,0
Closure-68,Closure,68,PLAUSIBLE,,44,9,7,16,16,0,16,0,3,1,5,0,2,0,9,5,1,1,16,18,1,15,17,0,0,0
Closure-69,Closure,69,PLAUSIBLE,,39,7,6,9,9,0,22,0,3,1,3,0,25,0,15,4,0,10,30,36,3,29,35,0,0,0
Closure-70,Closure,70,PLAUSIBLE,,15,3,7,3,3,0,7,0,1,1,2,0,1,0,6,4,1,1,10,13,1,9,12,0,0,0
Closure-71,Closure,71,PLAUSIBLE,,23,4,8,8,5,3,8,0,2,1,3,0,1,0,7,5,1,1,17,20,2,16,19,0,0,0
Closure-72,Closure,72,PLAUSIBLE,,19,5,7,2,2,0,9,0,2,1,3,0,1,0,8,5,1,1,8,10,1,7,9,0,0,0
Closure-73,Closure,73,PLAUSIBLE,,6,2,5,1,1,0,1,0,1,1,2,0,3,0,4,1,0,3,3,5,1,2,4,0,0,0
Closure-74,Closure,74,PLAUSIBLE,,17,3,6,6,6,0,6,0,1,1,3,0,0,0,3,2,1,0,13,15,1,12,14,0,0,0
Closure-75,Closure,75,PLAUSIBLE,,22,7,8,7,6,1,8,0,2,1,2,0,3,0,7,4,1,2,13,20,2,12,19,0,0,0
Closure-76,Closure,76,PLAUSIBLE,,13,1,8,3,2,1,3,0,2,1,3,0,0,0,4,1,1,0,5,7,1,4,6,0,0,0
Closure-77,Closure,77,PLAUSIBLE,,12,4,6,2,2,0,6,0,1,1,2,0,0,0,3,2,1,0,8,11,1,7,10,0,0,0
Closure-78,Closure,78,PLAUSIBLE,,8,2,6,1,1,0,3,0,1,1,2,0,0,0,2,1,1,0,5,7,1,4,6,0,0,0
Closure-79,Closure,79,PLAUSIBLE,,31,8,7,4,4,0,17,0,2,1,3,0,28,0,16,2,0,13,20,27,2,19,26,0,0,0
Closure-80,Closure,80,PLAUSIBLE,,10,3,5,2,2,0,2,0,2,1,3,0,0,0,1,1,0,0,3,8,2,2,7,0,0,0
Closure-81,Closure,81,PLAUSIBLE,,71,8,13,7,6,1,34,1,5,2,3,8,45,30,35,7,1,14,30,32,1,29,36,1,0,1
Closure-82,Closure,82,PLAUSIBLE,,55,8,9,6,6,0,22,0,6,2,3,3,60,25,38,4,0,24,16,19,2,15,32,0,0,1
Closure-83,Closure,83,PLAUSIBLE,,23,5,9,1,1,0,9,1,1,1,3,5,23,9,17,1,0,10,19,4,0,18,16,1,0,1
Closure-84,Closure,84,PLAUSIBLE,,61,8,11,6,6,0,34,0,3,2,5,5,18,20,29,7,3,5,46,30,0,45,29,0,0,1
Closure-85,Closure,85,PLAUSIBLE,,48,10,9,2,2,0,27,0,5,4,3,0,15,4,14,5,1,5,17,20,2,16,24,0,0,0
Closure-86,Closure,86,PLAUSIBLE,,21,4,6,6,6,0,11,0,1,1,2,0,0,0,5,3,2,0,18,20,1,17,19,0,0,0
Closure-87,Closure,87,PLAUSIBLE,,13,3,7,4,4,0,4,0,1,1,2,0,0,0,4,2,1,0,9,11,1,8,10,0,0,0
Closure-88,Closure,88,PLAUSIBLE,,10,3,6,2,2,0,4,0,1,1,2,0,0,0,4,3,0,0,7,9,1,6,8,0,0,0
Closure-89,Closure,89,PLAUSIBLE,,49,8,10,7,7,0,16,0,9,3,6,0,9,16,13,2,1,5,11,13,1,10,21,0,0,0
Closure-90,Closure,90,PLAUSIBLE,,23,4,7,5,5,0,9,0,2,2,3,0,1,0,13,11,1,1,12,14,1,11,13,0,0,0
Closure-91,Closure,91,PLAUSIBLE,,13,3,7,1,1,0,7,0,2,1,2,0,0,0,8,6,1,0,9,12,2,8,11,0,0,0
Closure-92,Closure,92,PLAUSIBLE,,8,3,5,2,2,0,2,0,1,1,2,0,2,0,2,1,0,1,5,7,1,4,6,0,0,0
Closure-94,Closure,94,PLAUSIBLE,,9,3,5,1,1,0,4,0,1,1,2,0,4,0,5,1,0,4,6,8,1,5,7,0,0,0
Closure-95,Closure,95,PLAUSIBLE,,11,4,7,2,2,0,4,0,1,1,2,0,0,0,5,2,2,0,7,9,1,6,8,0,0,0
Closure-96,Closure,96,PLAUSIBLE,,8,3,6,1,1,0,3,0,1,1,2,0,0,0,4,3,1,0,5,7,1,4,6,0,0,0
Closure-97,Closure,97,PLAUSIBLE,,6,2,5,1,1,0,1,0,1,1,2,0,0,0,1,1,0,0,3,5,1,2,4,0,0,0
Closure-98,Closure,98,PLAUSIBLE,,24,7,9,8,7,1,6,0,4,1,3,0,0,0,6,3,1,0,14,17,2,13,16,0,0,0
Closure-99,Closure,99,PLAUSIBLE,,11,6,5,1,1,0,4,0,2,1,3,0,4,0,4,1,0,3,6,9,2,5,8,0,0,0
Closure-100,Closure,100,PLAUSIBLE,,13,6,8,3,2,1,3,0,2,1,3,0,0,0,6,2,1,0,7,10,2,6,9,0,0,0
Closure-101,Closure,101,PLAUSIBLE,,15,5,5,4,4,0,7,0,1,1,2,0,10,0,9,2,0,7,12,14,1,11,13,0,0,0
Closure-102,Closure,102,PLAUSIBLE,,76,9,9,3,3,0,46,0,10,1,3,0,40,10,32,16,2,9,32,18,0,31,39,0,0,0
Closure-103,Closure,103,PLAUSIBLE,,17,6,6,4,4,0,6,0,2,2,3,0,1,0,7,4,2,1,5,7,1,4,8,0,0,0
Closure-104,Closure,104,PLAUSIBLE,,11,3,7,3,3,0,5,0,1,1,1,0,0,0,6,4,1,0,9,11,1,8,10,0,0,0
Closure-105,Closure,105,PLAUSIBLE,,8,3,6,1,1,0,3,0,1,1,2,0,1,0,5,3,1,1,5,7,1,4,6,0,0,0
Closure-106,Closure,106,PLAUSIBLE,,73,5,13,17,16,1,30,1,10,2,5,0,30,17,27,14,3,5,17,53,7,16,52,1,0,0
Closure-107,Closure,107,PLAUSIBLE,,41,4,9,9,9,0,26,0,1,1,2,0,3,0,23,13,4,3,37,39,1,36,38,0,0,0
Closure-108,Closure,108,PLAUSIBLE,,28,8,10,4,4,0,9,0,5,2,3,1,15,0,10,1,1,8,9,10,1,8,15,0,0,1
Closure-109,Closure,109,PLAUSIBLE,,7,3,5,0,0,0,3,0,1,1,2,0,0,0,2,1,1,0,4,6,1,3,5,0,0,0
Closure-110,Closure,110,PLAUSIBLE,,27,6,7,8,8,0,12,0,1,1,4,0,1,0,7,5,1,1,20,23,1,19,22,0,0,0
Closure-111,Closure,111,PLAUSIBLE,,13,3,5,1,1,0,7,0,2,1,2,0,6,0,5,1,0,4,7,9,1,6,8,0,0,0
Closure-112,Closure,112,PLAUSIBLE,,32,5,8,6,6,0,11,0,4,2,6,0,2,0,9,4,1,2,16,21,3,15,20,0,0,0
Closure-113,Closure,113,PLAUSIBLE,,23,4,5,3,3,0,15,0,1,1,3,0,15,0,8,2,0,6,19,21,1,18,20,0,0,0
Closure-114,Closure,114,PLAUSIBLE,,13,4,6,2,2,0,5,0,1,1,2,0,6,0,5,1,0,4,9,11,1,8,10,0,0,0
Closure-115,Closure,115,PLAUSIBLE,,28,6,10,5,5,0,9,1,4,1,6,0,2,0,10,5,1,1,19,8,0,18,11,1,0,0
Closure-116,Closure,116,PLAUSIBLE,,30,4,11,4,4,0,11,0,6,1,5,0,7,0,11,2,2,5,9,11,1,8,10,0,0,0
Closure-117,Closure,117,PLAUSIBLE,,23,4,7,5,5,0,11,0,1,1,3,0,0,0,6,4,1,0,19,5,0,18,15,0,0,0
